window_id,joint,start_time_sec,end_time_sec,center_time_sec,mean_pos,min_pos,max_pos,range_pos,pla_mean_slope,pla_max_slope,pla_min_slope,pla_mse,pla_max_error,pla_slopes,pla_intercepts,energy,direction_label,motion_label,pla_shape_label,pla_fit_label,energy_label
2299,joint2,11.498908655,11.517902556,11.508394531950001,0.5759586600578835,0.5759586224597761,0.575958688850065,6.639028882204911e-08,-2.7699950754109403e-06,3.3070930886567724e-06,-1.1629998520642594e-05,3.148078968648114e-18,3.3176645874988253e-09,-0.000005;0.000003;-0.000012;0.000002,0.576017;0.575921;0.576093;0.575932,1.0672237600478848e-14,stationary,small_motion,constant,good_fit,medium_energy
2300,joint2,11.503895313,11.522887610000002,11.5133936694,0.5759586488728867,0.5759586196718285,0.5759586841864373,6.451460876633064e-08,-2.7125014172492727e-06,3.3070930886567724e-06,-1.1629998520642594e-05,4.213341542134399e-18,3.4814895411017233e-09,0.000003;-0.000012;0.000002;-0.000005,0.575921;0.576093;0.575932;0.576014,1.0591114424522003e-14,stationary,small_motion,constant,good_fit,medium_energy
2301,joint2,11.508880859,11.527884818,11.518392565450002,0.5759586331473693,0.5759586085512609,0.5759586791166855,7.056542461469917e-08,-2.3010721010461686e-06,4.952810353469189e-06,-1.1629998520642594e-05,9.121039090655948e-18,5.672376790499811e-09,-0.000012;0.000002;-0.000005;0.000005,0.576093;0.575932;0.576014;0.575902,6.518723813962608e-15,stationary,small_motion,constant,good_fit,medium_energy
2302,joint2,11.513895991,11.532888058,11.52339091655,0.5759586347412451,0.5759586085512609,0.5759586720293495,6.347808856332904e-08,2.057991771540659e-06,5.8062569697047135e-06,-4.845882441099791e-06,1.4107233631038477e-17,5.672376790499811e-09,0.000002;-0.000005;0.000005;0.000006,0.575932;0.576014;0.575902;0.575892,7.266899407292975e-15,stationary,small_motion,constant,good_fit,medium_energy
2303,joint2,11.518909890000002,11.537915703,11.5283899924,0.5759586427515456,0.5759586085512609,0.5759586720293495,6.347808856332904e-08,1.486746509617388e-06,5.8062569697047135e-06,-4.845882441099791e-06,1.656824028808073e-17,5.672376790499811e-09,-0.000005;0.000005;0.000006;0.000000,0.576014;0.575902;0.575892;0.575958,8.603120293961605e-15,stationary,small_motion,constant,good_fit,medium_energy
2304,joint2,11.523886379,11.542885028,11.53339032275,0.5759586585077121,0.5759586085512609,0.5759587060119884,9.746072748839651e-08,4.504633170109416e-06,7.225664200868321e-06,3.380115639544106e-08,1.951389316370168e-17,5.672376790499811e-09,0.000005;0.000006;0.000000;0.000007,0.575902;0.575892;0.575958;0.575875,1.7241245871195754e-14,stationary,small_motion,constant,good_fit,medium_energy
2305,joint2,11.528900699,11.547905490000002,11.53838949795,0.5759586719768107,0.575958646521217,0.5759587060119884,5.949077142020087e-08,4.199852979367593e-07,7.225664200868321e-06,-1.138578113522144e-05,1.5543209885940593e-17,5.657730839381259e-09,0.000006;0.000000;0.000007;-0.000011,0.575892;0.575958;0.575875;0.576090,6.425162463687691e-15,stationary,small_motion,constant,good_fit,medium_energy
2306,joint2,11.533895673,11.552877661,11.54339607605,0.5759586714709485,0.5759586505936758,0.5759587060119884,5.541831260558183e-08,1.798507518158284e-07,7.225664200868321e-06,-1.138578113522144e-05,1.0997902446229004e-17,5.657730839381259e-09,0.000000;0.000007;-0.000011;0.000005,0.575958;0.575875;0.576090;0.575903,6.415574318864696e-15,stationary,small_motion,constant,good_fit,medium_energy
2307,joint2,11.538882591,11.557900317,11.548397601200001,0.5759586657643181,0.5759586097139806,0.5759587060119884,9.629800779009656e-08,-3.231387850264237e-06,7.225664200868321e-06,-1.3611153251924821e-05,7.211384868281434e-18,5.657730839381259e-09,0.000007;-0.000011;0.000005;-0.000014,0.575875;0.576090;0.575903;0.576116,1.3010462453316138e-14,stationary,small_motion,constant,good_fit,medium_energy
2308,joint2,11.543881923,11.56291109,11.5533971901,0.5759586461333993,0.5759586046361882,0.5759586951066593,9.047047111465645e-08,-3.099108495713228e-06,7.754781619072358e-06,-1.3611153251924821e-05,3.9058952650058105e-18,3.3580881408923346e-09,-0.000011;0.000005;-0.000014;0.000008,0.576090;0.575903;0.576116;0.575869,1.2960420262752739e-14,stationary,small_motion,constant,good_fit,medium_energy
2309,joint2,11.548915019,11.567899061,11.5583989115,0.575958637831341,0.5759586046361882,0.5759586686777638,6.404157559813939e-08,-1.205738718794429e-06,7.754781619072358e-06,-1.3611153251924821e-05,4.048133889645025e-18,3.3580881408923346e-09,0.000005;-0.000014;0.000008;-0.000004,0.575903;0.576116;0.575869;0.576003,7.919329114277172e-15,stationary,small_motion,constant,good_fit,medium_energy
2310,joint2,11.55389256,11.572909544000002,11.5633952763,0.5759586314067882,0.5759586046361882,0.5759586628256725,5.8189484342108244e-08,-2.49186973228525e-07,8.671925767484608e-06,-1.3611153251924821e-05,7.110611425026662e-18,4.875045700458713e-09,-0.000014;0.000008;-0.000004;0.000009,0.576116;0.575869;0.576003;0.575858,4.942728902629153e-15,stationary,small_motion,constant,good_fit,medium_energy
2311,joint2,11.558895108000002,11.577885962,11.568393748450001,0.5759586432522894,0.5759586046361882,0.5759586892887256,8.465253742429013e-08,3.989516740533194e-06,8.671925767484608e-06,-3.812302027546244e-06,1.1644490250556052e-17,5.366537658701986e-09,0.000008;-0.000004;0.000009;0.000003,0.575869;0.576003;0.575858;0.575920,1.3940261195332842e-14,stationary,small_motion,constant,good_fit,medium_energy
2312,joint2,11.563882256,11.582881397,11.573392768249999,0.575958657046576,0.5759586230621458,0.5759586892887256,6.622657977572999e-08,1.6989908129138347e-06,8.671925767484608e-06,-3.812302027546244e-06,1.2513987555094709e-17,5.366537658701986e-09,-0.000004;0.000009;0.000003;-0.000001,0.576003;0.575858;0.575920;0.575975,1.0179087967664576e-14,stationary,small_motion,constant,good_fit,medium_energy
2313,joint2,11.568887359,11.587881039,11.578394494200001,0.5759586699382713,0.5759586230621458,0.5759586937377099,7.06755640678125e-08,3.263978245839721e-06,8.671925767484608e-06,-1.4073220914050825e-06,1.3975080385437767e-17,5.366537658701986e-09,0.000009;0.000003;-0.000001;0.000002,0.575858;0.575920;0.575975;0.575930,9.792140035938799e-15,stationary,small_motion,constant,good_fit,medium_energy
